N,avg_resp_time,success_count,total_req_count,total_time,tp,throughtput
1,0.006849469135576816,561,561,3.8425521850585938,9.35,9.35
11,0.02019696775645075,5210,5210,105.2262020111084,86.83333333333333,86.83333333333333
21,0.043869131977118336,7931,7931,347.9260857105255,132.18333333333334,132.18333333333334
31,0.06989291902305832,9711,9711,678.7301366329193,161.85,161.85
41,0.10985886054434715,10351,10351,1137.1490654945374,172.51666666666668,172.51666666666668
51,0.1569800449045081,10640,10640,1670.267677783966,177.33333333333334,177.33333333333334
61,0.19722115088603648,11066,11066,2182.4492557048798,184.43333333333334,184.43333333333334
71,0.25938182865859577,10639,10639,2759.5632750988007,177.31666666666666,177.31666666666666
81,0.28847987623245597,11429,11429,3297.036505460739,190.48333333333332,190.48333333333332
91,0.3435309767977442,11248,11248,3864.0364270210266,187.46666666666667,187.46666666666667
101,0.3927825737706436,11332,11332,4451.012125968933,188.86666666666667,188.86666666666667
111,0.4409576698452865,11291,11293,4979.73496556282,188.18333333333334,188.18333333333334
121,0.5247118245322435,10752,10752,5641.701537370682,179.2,179.2
131,0.5751502261496994,10760,10769,6193.792785406113,179.33333333333334,179.33333333333334
141,0.5907315442388215,11141,11147,6584.884523630142,185.68333333333334,185.68333333333334
151,0.5996034484083661,10906,10931,6554.265294551849,181.76666666666668,181.76666666666668
161,0.6335646925779649,11003,11036,6992.0199472904205,183.38333333333333,183.38333333333333
171,0.7073870765222808,10282,10335,7310.845435857773,171.36666666666667,171.36666666666667
181,0.8079119052961145,10771,10799,8724.64066529274,179.51666666666668,179.51666666666668
191,0.7795911775453602,10986,11031,8599.670279502869,183.1,183.1
201,0.8395374130219945,10566,10626,8920.924550771713,176.1,176.1
